Finnish,English
rakennus,building
arkkitehtuuri,architecture
piirustus,blueprint
kerros,storey
ikkuna,window
ovi,door
katto,roof
seinä,wall
pylväs,column
rakenne,structure
julkisivu,facade
terassi,terrace
portaikko,staircase
materiaali,material
betoni,concrete
puu,wood
lasitettu,glazed
viheralue,green area
kaupunkisuunnittelu,urban planning
sisäänkäynti,entrance
hissi,elevator
parveke,balcony
kattorauta,roof beam
tiili,brick
rauta,iron
pientalo,small house
kerrostalo,apartment building
suunnitelma,plan
mittakaava,scale
sisustussuunnittelu,interior design
sohva,sofa
pöytä,table
tuoli,chair
valaisin,light
matto,rug
verho,curtain
hylly,shelf
taulu,painting
koriste,decoration
tyyli,style
väri,color
tekstuuri,texture
valaistus,lighting
komero,cupboard
keittiö,kitchen
astiat,tableware
lipasto,dresser
peili,mirror
lamppu,lamp
patja,mattress
työpöytä,desk
tekoäly,artificial intelligence
tietokone,computer
ohjelmisto,software
algoritmi,algorithm
data,data
verkko,network
koneoppiminen,machine learning
robotti,robot
koodi,code
digitaalinen,digital
tietoturva,cybersecurity
sähköposti,email
tietokanta,database
käyttäjä,user
laitteisto,hardware
älykäs,intelligent
pilvitallennus,cloud storage
mobiili,mobile
sovellus,application
teknologia,technology
innovaatio,innovation
kännykkä,cellphone
näyttö,screen
tabletti,tablet
sähköinen,electronic
biometrinen,biometric
kamera,camera
virtuaalinen,virtual
teollisuus,industry
automaatio,automation
sensori,sensor
koti,home
perhe,family
ystävä,friend
työpaikka,workplace
koulu,school
ostos,shopping
ravintola,restaurant
lääkäri,doctor
apteekki,pharmacy
liikenne,traffic
juna,train
bussi,bus
lentokenttä,airport
matka,trip
harrastus,hobby
urheilu,sports
kirja,book
lehti,magazine
sanomalehti,newspaper
musiikki,music
elokuva,movie
sää,weather
aurinko,sun
sade,rain
pilvi,cloud
tuuli,wind
lumi,snow
lämpötila,temperature
vaate,clothing
kenkä,shoe
takki,jacket
hame,skirt
pusero,blouse
hius,hairstyle
parturi,hairdresser
ruoka,food
aamiainen,breakfast
lounas,lunch
päivällinen,dinner
vesi,water
kahvi,coffee
tee,tea
mauste,spice
resepti,recipe
terveys,health
liikunta,exercise
uni,sleep
stressi,stress
raha,money
pankki,bank
lasku,bill
osto,purchase
hinta,price
alennus,discount
kassa,cash register
kortti,card
maksu,payment
aikataulu,schedule
tapaaminen,appointment
vuoro,turn
juhla,celebration
lahja,gift
kukka,flower
lemmikki,pet
puisto,park
retki,excursion
luonto,nature
joki,river
metsä,forest
vuori,mountain
meri,sea
saari,island
tiede,science
taide,art
historia,history
kulttuuri,culture
kieli,language
oppiminen,learning
harjoitus,practise
tehtävä,task
vihreä,green
sininen,blue
punainen,red
keltainen,yellow
valkoinen,white
musta,black
iso,big
pieni,small
uusi,new
vanha,old
lämmin,warm
kylmä,cold
nopea,fast
hidas,slow
helppo,easy
vaikea,difficult
mukava,comfortable
epämukava,uncomfortable
siisti,clean
likainen,dirty
tärkeä,important
yleinen,common
erikoinen,special
normaali,normal
vapaa,free
kiireinen,busy
onnellinen,happy
surullinen,sad
terve,healthy
sairas,sick
väsynyt,tired
hereillä,awake
nälkäinen,hungry
janoinen,thirsty
varma,certain
epävarma,uncertain
samanlainen,similar
erilainen,different
